From	Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length	Gene Ontology IDs	Gene Ontology (biological process)	Gene Ontology (GO)	Gene Ontology (molecular function)	Gene Ontology (cellular component)	Developmental stage	Induction	Tissue specificity
Q867C9	Q867C9	reviewed	PFKAM_HORSE	ATP-dependent 6-phosphofructokinase, muscle type (ATP-PFK) (PFK-M) (EC 2.7.1.11) (6-phosphofructokinase type A) (Phosphofructo-1-kinase isozyme A) (PFK-A) (Phosphohexokinase)	PFKM	Equus caballus (Horse)	780	GO:0003872; GO:0005524; GO:0005945; GO:0006002; GO:0016020; GO:0016208; GO:0030388; GO:0042802; GO:0046872; GO:0048029; GO:0061621; GO:0070095	canonical glycolysis [GO:0061621]; fructose 1,6-bisphosphate metabolic process [GO:0030388]; fructose 6-phosphate metabolic process [GO:0006002]	6-phosphofructokinase complex [GO:0005945]; membrane [GO:0016020]; 6-phosphofructokinase activity [GO:0003872]; AMP binding [GO:0016208]; ATP binding [GO:0005524]; fructose-6-phosphate binding [GO:0070095]; identical protein binding [GO:0042802]; metal ion binding [GO:0046872]; monosaccharide binding [GO:0048029]; canonical glycolysis [GO:0061621]; fructose 1,6-bisphosphate metabolic process [GO:0030388]; fructose 6-phosphate metabolic process [GO:0006002]	6-phosphofructokinase activity [GO:0003872]; AMP binding [GO:0016208]; ATP binding [GO:0005524]; fructose-6-phosphate binding [GO:0070095]; identical protein binding [GO:0042802]; metal ion binding [GO:0046872]; monosaccharide binding [GO:0048029]	6-phosphofructokinase complex [GO:0005945]; membrane [GO:0016020]			
O43303	O43303	reviewed	CP110_HUMAN	Centriolar coiled-coil protein of 110 kDa (Centrosomal protein of 110 kDa) (CP110) (Cep110)	CCP110 CEP110 CP110 KIAA0419	Homo sapiens (Human)	1012	GO:0005813; GO:0005814; GO:0005829; GO:0005929; GO:0007099; GO:0032053; GO:0032465; GO:0032991; GO:0045724; GO:0051298; GO:1902018; GO:1903723	centriole replication [GO:0007099]; centrosome duplication [GO:0051298]; ciliary basal body organization [GO:0032053]; negative regulation of centriole elongation [GO:1903723]; negative regulation of cilium assembly [GO:1902018]; positive regulation of cilium assembly [GO:0045724]; regulation of cytokinesis [GO:0032465]	centriole [GO:0005814]; centrosome [GO:0005813]; cilium [GO:0005929]; cytosol [GO:0005829]; protein-containing complex [GO:0032991]; centriole replication [GO:0007099]; centrosome duplication [GO:0051298]; ciliary basal body organization [GO:0032053]; negative regulation of centriole elongation [GO:1903723]; negative regulation of cilium assembly [GO:1902018]; positive regulation of cilium assembly [GO:0045724]; regulation of cytokinesis [GO:0032465]		centriole [GO:0005814]; centrosome [GO:0005813]; cilium [GO:0005929]; cytosol [GO:0005829]; protein-containing complex [GO:0032991]		INDUCTION: Up-regulated during the transition from G1 to S phase of the cell cycle. The highest levels are observed in S phase, after which the levels decrease markedly. {ECO:0000269|PubMed:12361598}.	TISSUE SPECIFICITY: Highly expressed in testis. Detected at intermediate levels in spleen, thymus, prostate, small intestine, colon and peripheral blood leukocytes. {ECO:0000269|PubMed:12361598}.
P83941	P83941	reviewed	ELOC_RAT	Elongin-C (EloC) (Elongin 15 kDa subunit) (RNA polymerase II transcription factor SIII subunit C) (SIII p15) (Stromal membrane-associated protein SMAP1B homolog) (Transcription elongation factor B polypeptide 1)	Eloc Tceb1	Rattus norvegicus (Rat)	112	GO:0001222; GO:0006367; GO:0006511; GO:0016567; GO:0030674; GO:0030891; GO:0031466; GO:0032968; GO:0044877; GO:0070449; GO:0140958	positive regulation of transcription elongation by RNA polymerase II [GO:0032968]; protein ubiquitination [GO:0016567]; target-directed miRNA degradation [GO:0140958]; transcription initiation at RNA polymerase II promoter [GO:0006367]; ubiquitin-dependent protein catabolic process [GO:0006511]	Cul5-RING ubiquitin ligase complex [GO:0031466]; elongin complex [GO:0070449]; VCB complex [GO:0030891]; protein-containing complex binding [GO:0044877]; protein-macromolecule adaptor activity [GO:0030674]; transcription corepressor binding [GO:0001222]; positive regulation of transcription elongation by RNA polymerase II [GO:0032968]; protein ubiquitination [GO:0016567]; target-directed miRNA degradation [GO:0140958]; transcription initiation at RNA polymerase II promoter [GO:0006367]; ubiquitin-dependent protein catabolic process [GO:0006511]	protein-containing complex binding [GO:0044877]; protein-macromolecule adaptor activity [GO:0030674]; transcription corepressor binding [GO:0001222]	Cul5-RING ubiquitin ligase complex [GO:0031466]; elongin complex [GO:0070449]; VCB complex [GO:0030891]			
Q9C0G0	Q9C0G0	reviewed	ZN407_HUMAN	Zinc finger protein 407	ZNF407 KIAA1703	Homo sapiens (Human)	2248	GO:0003677; GO:0005634; GO:0008270; GO:0045944	positive regulation of transcription by RNA polymerase II [GO:0045944]	nucleus [GO:0005634]; DNA binding [GO:0003677]; zinc ion binding [GO:0008270]; positive regulation of transcription by RNA polymerase II [GO:0045944]	DNA binding [GO:0003677]; zinc ion binding [GO:0008270]	nucleus [GO:0005634]			
Q8WYH8	Q8WYH8	reviewed	ING5_HUMAN	Inhibitor of growth protein 5 (p28ING5)	ING5	Homo sapiens (Human)	240	GO:0000123; GO:0001558; GO:0003682; GO:0005634; GO:0005654; GO:0006275; GO:0006355; GO:0006473; GO:0008285; GO:0035064; GO:0043065; GO:0045926; GO:0046872; GO:0048144; GO:0048147; GO:0050793; GO:0051726; GO:0070776; GO:0097190; GO:0140889; GO:1903706; GO:2000278; GO:2001235	apoptotic signaling pathway [GO:0097190]; DNA replication-dependent chromatin disassembly [GO:0140889]; fibroblast proliferation [GO:0048144]; negative regulation of cell population proliferation [GO:0008285]; negative regulation of fibroblast proliferation [GO:0048147]; negative regulation of growth [GO:0045926]; positive regulation of apoptotic process [GO:0043065]; positive regulation of apoptotic signaling pathway [GO:2001235]; protein acetylation [GO:0006473]; regulation of cell cycle [GO:0051726]; regulation of cell growth [GO:0001558]; regulation of developmental process [GO:0050793]; regulation of DNA biosynthetic process [GO:2000278]; regulation of DNA replication [GO:0006275]; regulation of DNA-templated transcription [GO:0006355]; regulation of hemopoiesis [GO:1903706]	histone acetyltransferase complex [GO:0000123]; MOZ/MORF histone acetyltransferase complex [GO:0070776]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; chromatin binding [GO:0003682]; metal ion binding [GO:0046872]; methylated histone binding [GO:0035064]; apoptotic signaling pathway [GO:0097190]; DNA replication-dependent chromatin disassembly [GO:0140889]; fibroblast proliferation [GO:0048144]; negative regulation of cell population proliferation [GO:0008285]; negative regulation of fibroblast proliferation [GO:0048147]; negative regulation of growth [GO:0045926]; positive regulation of apoptotic process [GO:0043065]; positive regulation of apoptotic signaling pathway [GO:2001235]; protein acetylation [GO:0006473]; regulation of cell cycle [GO:0051726]; regulation of cell growth [GO:0001558]; regulation of developmental process [GO:0050793]; regulation of DNA biosynthetic process [GO:2000278]; regulation of DNA replication [GO:0006275]; regulation of DNA-templated transcription [GO:0006355]; regulation of hemopoiesis [GO:1903706]	chromatin binding [GO:0003682]; metal ion binding [GO:0046872]; methylated histone binding [GO:0035064]	histone acetyltransferase complex [GO:0000123]; MOZ/MORF histone acetyltransferase complex [GO:0070776]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]			TISSUE SPECIFICITY: Down-regulated in bone marrow cells in acute myeloid leukemia patients as compared with normal bone marrow cells. {ECO:0000269|PubMed:21750715}.
A2T736	A2T736	reviewed	ZKSC8_PANTR	Zinc finger protein with KRAB and SCAN domains 8 (Zinc finger protein 192)	ZKSCAN8 ZNF192	Pan troglodytes (Chimpanzee)	578	GO:0000978; GO:0000981; GO:0005634; GO:0006357; GO:0046872	regulation of transcription by RNA polymerase II [GO:0006357]	nucleus [GO:0005634]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; metal ion binding [GO:0046872]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]; regulation of transcription by RNA polymerase II [GO:0006357]	DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; metal ion binding [GO:0046872]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]	nucleus [GO:0005634]			
Q2T9W9	Q2T9W9	reviewed	CAAP1_BOVIN	Caspase activity and apoptosis inhibitor 1 (Conserved anti-apoptotic protein) (CAAP)	CAAP1 CAAP	Bos taurus (Bovine)	362	GO:0006915; GO:2001268	apoptotic process [GO:0006915]; negative regulation of cysteine-type endopeptidase activity involved in apoptotic signaling pathway [GO:2001268]	apoptotic process [GO:0006915]; negative regulation of cysteine-type endopeptidase activity involved in apoptotic signaling pathway [GO:2001268]					
Q3KR53	Q3KR53	reviewed	GPBL1_RAT	Vasculin-like protein 1 (GC-rich promoter-binding protein 1-like 1)	Gpbp1l1	Rattus norvegicus (Rat)	475	GO:0003677; GO:0003723; GO:0005634; GO:0006351; GO:0006355; GO:0045893	DNA-templated transcription [GO:0006351]; positive regulation of DNA-templated transcription [GO:0045893]; regulation of DNA-templated transcription [GO:0006355]	nucleus [GO:0005634]; DNA binding [GO:0003677]; RNA binding [GO:0003723]; DNA-templated transcription [GO:0006351]; positive regulation of DNA-templated transcription [GO:0045893]; regulation of DNA-templated transcription [GO:0006355]	DNA binding [GO:0003677]; RNA binding [GO:0003723]	nucleus [GO:0005634]			
Q9H0J4	Q9H0J4	reviewed	QRIC2_HUMAN	Glutamine-rich protein 2	QRICH2	Homo sapiens (Human)	1663	GO:0005737; GO:0030031; GO:0030317; GO:0031965; GO:0036126; GO:2000059	cell projection assembly [GO:0030031]; flagellated sperm motility [GO:0030317]; negative regulation of ubiquitin-dependent protein catabolic process [GO:2000059]	cytoplasm [GO:0005737]; nuclear membrane [GO:0031965]; sperm flagellum [GO:0036126]; cell projection assembly [GO:0030031]; flagellated sperm motility [GO:0030317]; negative regulation of ubiquitin-dependent protein catabolic process [GO:2000059]		cytoplasm [GO:0005737]; nuclear membrane [GO:0031965]; sperm flagellum [GO:0036126]			TISSUE SPECIFICITY: Expressed in the sperm. {ECO:0000269|PubMed:30683861}.
Q8R0F5	Q8R0F5	reviewed	RBMX2_MOUSE	RNA-binding motif protein, X-linked 2	Rbmx2	Mus musculus (Mouse)	326	GO:0000398; GO:0003723; GO:0005634; GO:0005686; GO:0005730; GO:0005783; GO:0031965; GO:0071005; GO:0071011	mRNA splicing, via spliceosome [GO:0000398]	endoplasmic reticulum [GO:0005783]; nuclear membrane [GO:0031965]; nucleolus [GO:0005730]; nucleus [GO:0005634]; precatalytic spliceosome [GO:0071011]; U2 snRNP [GO:0005686]; U2-type precatalytic spliceosome [GO:0071005]; RNA binding [GO:0003723]; mRNA splicing, via spliceosome [GO:0000398]	RNA binding [GO:0003723]	endoplasmic reticulum [GO:0005783]; nuclear membrane [GO:0031965]; nucleolus [GO:0005730]; nucleus [GO:0005634]; precatalytic spliceosome [GO:0071011]; U2 snRNP [GO:0005686]; U2-type precatalytic spliceosome [GO:0071005]			
Q5C9Z4	Q5C9Z4	reviewed	NOM1_HUMAN	Nucleolar MIF4G domain-containing protein 1 (SGD1 homolog)	NOM1 C7orf3	Homo sapiens (Human)	860	GO:0003723; GO:0005730; GO:0042274; GO:0048820	hair follicle maturation [GO:0048820]; ribosomal small subunit biogenesis [GO:0042274]	nucleolus [GO:0005730]; RNA binding [GO:0003723]; hair follicle maturation [GO:0048820]; ribosomal small subunit biogenesis [GO:0042274]	RNA binding [GO:0003723]	nucleolus [GO:0005730]			TISSUE SPECIFICITY: Expressed in heart and skeletal muscle. {ECO:0000269|PubMed:10329000}.
D3ZQL6	D3ZQL6	reviewed	MILK1_RAT	MICAL-like protein 1	Micall1	Rattus norvegicus (Rat)	855	GO:0005770; GO:0006612; GO:0006897; GO:0006898; GO:0010008; GO:0010009; GO:0015031; GO:0031175; GO:0031267; GO:0031902; GO:0032456; GO:0032458; GO:0036010; GO:0042802; GO:0046872; GO:0055038; GO:0070300; GO:0097320; GO:1990090	cellular response to nerve growth factor stimulus [GO:1990090]; endocytic recycling [GO:0032456]; endocytosis [GO:0006897]; neuron projection development [GO:0031175]; plasma membrane tubulation [GO:0097320]; protein localization to endosome [GO:0036010]; protein targeting to membrane [GO:0006612]; protein transport [GO:0015031]; receptor-mediated endocytosis [GO:0006898]; slow endocytic recycling [GO:0032458]	cytoplasmic side of endosome membrane [GO:0010009]; endosome membrane [GO:0010008]; late endosome [GO:0005770]; late endosome membrane [GO:0031902]; recycling endosome membrane [GO:0055038]; identical protein binding [GO:0042802]; metal ion binding [GO:0046872]; phosphatidic acid binding [GO:0070300]; small GTPase binding [GO:0031267]; cellular response to nerve growth factor stimulus [GO:1990090]; endocytic recycling [GO:0032456]; endocytosis [GO:0006897]; neuron projection development [GO:0031175]; plasma membrane tubulation [GO:0097320]; protein localization to endosome [GO:0036010]; protein targeting to membrane [GO:0006612]; protein transport [GO:0015031]; receptor-mediated endocytosis [GO:0006898]; slow endocytic recycling [GO:0032458]	identical protein binding [GO:0042802]; metal ion binding [GO:0046872]; phosphatidic acid binding [GO:0070300]; small GTPase binding [GO:0031267]	cytoplasmic side of endosome membrane [GO:0010009]; endosome membrane [GO:0010008]; late endosome [GO:0005770]; late endosome membrane [GO:0031902]; recycling endosome membrane [GO:0055038]			
Q9C0D7	Q9C0D7	reviewed	ZC12C_HUMAN	Probable ribonuclease ZC3H12C (EC 3.1.-.-) (MCP-induced protein 3) (Zinc finger CCCH domain-containing protein 12C)	ZC3H12C KIAA1726 MCPIP3	Homo sapiens (Human)	883	GO:0003729; GO:0004521; GO:0005634; GO:0036464; GO:0046872		cytoplasmic ribonucleoprotein granule [GO:0036464]; nucleus [GO:0005634]; metal ion binding [GO:0046872]; mRNA binding [GO:0003729]; RNA endonuclease activity [GO:0004521]	metal ion binding [GO:0046872]; mRNA binding [GO:0003729]; RNA endonuclease activity [GO:0004521]	cytoplasmic ribonucleoprotein granule [GO:0036464]; nucleus [GO:0005634]		INDUCTION: By cytokines (TNF-alpha and interleukin-1) in acute monocytic leukemia cell line THP-1 cells. {ECO:0000269|PubMed:18178554}.	
Q86VS8	Q86VS8	reviewed	HOOK3_HUMAN	Protein Hook homolog 3 (h-hook3) (hHK3)	HOOK3	Homo sapiens (Human)	718	GO:0000242; GO:0005737; GO:0005801; GO:0005813; GO:0005874; GO:0007032; GO:0007040; GO:0008017; GO:0008333; GO:0015031; GO:0022027; GO:0030705; GO:0031122; GO:0034451; GO:0034452; GO:0034454; GO:0042802; GO:0045022; GO:0045503; GO:0045505; GO:0050768; GO:0051645; GO:0051959; GO:0070695; GO:0071539; GO:0097150; GO:1905719	cytoplasmic microtubule organization [GO:0031122]; cytoskeleton-dependent intracellular transport [GO:0030705]; early endosome to late endosome transport [GO:0045022]; endosome organization [GO:0007032]; endosome to lysosome transport [GO:0008333]; Golgi localization [GO:0051645]; interkinetic nuclear migration [GO:0022027]; lysosome organization [GO:0007040]; microtubule anchoring at centrosome [GO:0034454]; negative regulation of neurogenesis [GO:0050768]; neuronal stem cell population maintenance [GO:0097150]; protein localization to centrosome [GO:0071539]; protein localization to perinuclear region of cytoplasm [GO:1905719]; protein transport [GO:0015031]	centriolar satellite [GO:0034451]; centrosome [GO:0005813]; cis-Golgi network [GO:0005801]; cytoplasm [GO:0005737]; FHF complex [GO:0070695]; microtubule [GO:0005874]; pericentriolar material [GO:0000242]; dynactin binding [GO:0034452]; dynein intermediate chain binding [GO:0045505]; dynein light chain binding [GO:0045503]; dynein light intermediate chain binding [GO:0051959]; identical protein binding [GO:0042802]; microtubule binding [GO:0008017]; cytoplasmic microtubule organization [GO:0031122]; cytoskeleton-dependent intracellular transport [GO:0030705]; early endosome to late endosome transport [GO:0045022]; endosome organization [GO:0007032]; endosome to lysosome transport [GO:0008333]; Golgi localization [GO:0051645]; interkinetic nuclear migration [GO:0022027]; lysosome organization [GO:0007040]; microtubule anchoring at centrosome [GO:0034454]; negative regulation of neurogenesis [GO:0050768]; neuronal stem cell population maintenance [GO:0097150]; protein localization to centrosome [GO:0071539]; protein localization to perinuclear region of cytoplasm [GO:1905719]; protein transport [GO:0015031]	dynactin binding [GO:0034452]; dynein intermediate chain binding [GO:0045505]; dynein light chain binding [GO:0045503]; dynein light intermediate chain binding [GO:0051959]; identical protein binding [GO:0042802]; microtubule binding [GO:0008017]	centriolar satellite [GO:0034451]; centrosome [GO:0005813]; cis-Golgi network [GO:0005801]; cytoplasm [GO:0005737]; FHF complex [GO:0070695]; microtubule [GO:0005874]; pericentriolar material [GO:0000242]			
Q647I9	Q647I9	reviewed	NALP5_BOVIN	NACHT, LRR and PYD domains-containing protein 5 (Mater protein homolog)	NLRP5 MATER NALP5	Bos taurus (Bovine)	1098	GO:0005524; GO:0005634; GO:0005730; GO:0005737; GO:0005739; GO:0005794; GO:0005829; GO:0005938; GO:0006887; GO:0007015; GO:0032879; GO:0040019; GO:0042585; GO:0048471; GO:0050727; GO:0051293; GO:0051302; GO:0051656; GO:0060471; GO:0060473; GO:0106333	actin filament organization [GO:0007015]; cortical granule exocytosis [GO:0060471]; establishment of organelle localization [GO:0051656]; establishment of spindle localization [GO:0051293]; exocytosis [GO:0006887]; positive regulation of embryonic development [GO:0040019]; regulation of cell division [GO:0051302]; regulation of inflammatory response [GO:0050727]; regulation of localization [GO:0032879]	cell cortex [GO:0005938]; cortical granule [GO:0060473]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; germinal vesicle [GO:0042585]; Golgi apparatus [GO:0005794]; mitochondrion [GO:0005739]; nucleolus [GO:0005730]; nucleus [GO:0005634]; perinuclear region of cytoplasm [GO:0048471]; subcortical maternal complex [GO:0106333]; ATP binding [GO:0005524]; actin filament organization [GO:0007015]; cortical granule exocytosis [GO:0060471]; establishment of organelle localization [GO:0051656]; establishment of spindle localization [GO:0051293]; exocytosis [GO:0006887]; positive regulation of embryonic development [GO:0040019]; regulation of cell division [GO:0051302]; regulation of inflammatory response [GO:0050727]; regulation of localization [GO:0032879]	ATP binding [GO:0005524]	cell cortex [GO:0005938]; cortical granule [GO:0060473]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; germinal vesicle [GO:0042585]; Golgi apparatus [GO:0005794]; mitochondrion [GO:0005739]; nucleolus [GO:0005730]; nucleus [GO:0005634]; perinuclear region of cytoplasm [GO:0048471]; subcortical maternal complex [GO:0106333]			TISSUE SPECIFICITY: Oocyte-specific. {ECO:0000269|PubMed:15189828, ECO:0000269|PubMed:16339045}.
Q6ZMV7	Q6ZMV7	reviewed	LEKR1_HUMAN	Protein LEKR1	LEKR1	Homo sapiens (Human)	132								
B2GV17	B2GV17	reviewed	CBPC5_RAT	Cytosolic carboxypeptidase-like protein 5 (EC 3.4.17.-) (EC 3.4.17.24) (ATP/GTP-binding protein-like 5) (Protein deglutamylase CCP5)	Agbl5 Ccp5	Rattus norvegicus (Rat)	832	GO:0004181; GO:0005634; GO:0005829; GO:0006508; GO:0008270; GO:0015631; GO:0030496; GO:0035608; GO:0035609; GO:0035610; GO:0035611; GO:0051607; GO:0072686	C-terminal protein deglutamylation [GO:0035609]; defense response to virus [GO:0051607]; protein branching point deglutamylation [GO:0035611]; protein deglutamylation [GO:0035608]; protein side chain deglutamylation [GO:0035610]; proteolysis [GO:0006508]	cytosol [GO:0005829]; midbody [GO:0030496]; mitotic spindle [GO:0072686]; nucleus [GO:0005634]; metallocarboxypeptidase activity [GO:0004181]; tubulin binding [GO:0015631]; zinc ion binding [GO:0008270]; C-terminal protein deglutamylation [GO:0035609]; defense response to virus [GO:0051607]; protein branching point deglutamylation [GO:0035611]; protein deglutamylation [GO:0035608]; protein side chain deglutamylation [GO:0035610]; proteolysis [GO:0006508]	metallocarboxypeptidase activity [GO:0004181]; tubulin binding [GO:0015631]; zinc ion binding [GO:0008270]	cytosol [GO:0005829]; midbody [GO:0030496]; mitotic spindle [GO:0072686]; nucleus [GO:0005634]			
Q5BJE1	Q5BJE1	reviewed	CC178_HUMAN	Coiled-coil domain-containing protein 178	CCDC178 C18orf34	Homo sapiens (Human)	867	GO:0036064		ciliary basal body [GO:0036064]		ciliary basal body [GO:0036064]			
Q5VT06	Q5VT06	reviewed	CE350_HUMAN	Centrosome-associated protein 350 (Cep350) (Centrosome-associated protein of 350 kDa)	CEP350 CAP350 KIAA0480 GM133	Homo sapiens (Human)	3117	GO:0005634; GO:0005737; GO:0005813; GO:0005814; GO:0005819; GO:0008017; GO:0016020; GO:0034453; GO:0042995; GO:0071539; GO:1905515	microtubule anchoring [GO:0034453]; non-motile cilium assembly [GO:1905515]; protein localization to centrosome [GO:0071539]	cell projection [GO:0042995]; centriole [GO:0005814]; centrosome [GO:0005813]; cytoplasm [GO:0005737]; membrane [GO:0016020]; nucleus [GO:0005634]; spindle [GO:0005819]; microtubule binding [GO:0008017]; microtubule anchoring [GO:0034453]; non-motile cilium assembly [GO:1905515]; protein localization to centrosome [GO:0071539]	microtubule binding [GO:0008017]	cell projection [GO:0042995]; centriole [GO:0005814]; centrosome [GO:0005813]; cytoplasm [GO:0005737]; membrane [GO:0016020]; nucleus [GO:0005634]; spindle [GO:0005819]			TISSUE SPECIFICITY: Detected in heart, brain, skeletal muscle, testis, placenta, lung, liver, kidney and pancreas. {ECO:0000269|PubMed:11891061, ECO:0000269|PubMed:15615782}.
