GO:0003872,Q867C9, P08237,,,,,,,,,,,,,,,,,,,,,,,,,
GO:0004435,Q01970, P25455, Q15147,,,,,,,,,,,,,,,,,,,,,,,,
GO:0004629,Q01970, Q15147,,,,,,,,,,,,,,,,,,,,,,,,,
GO:0005634,Q5VT06, B2GV17, A2T736, Q9Z0R4, Q9UK39, Q61493, Q6P4F7, Q0VD50, Q647I9, Q52KI8, O62640, Q15147, A1YG61, Q9C0G0, Q8R0F5, Q9VRP9, Q8WYH8, Q9C0D7, P21359, Q01970, Q02224, Q5JR59, Q867C9, Q80Y19, P08237, Q9QXG4, Q6AYB3
GO:0005730,Q647I9, P21359, Q5C9Z4, Q8R0F5, Q61493, P55937, Q6DRJ4,,,,,,,,,,,,,,,,,,,,
GO:0005794,Q647I9, Q15643, P39098, Q8VDC1, Q91VW5, P55937, Q9Z280, A1YG61, Q3V6T2,,,,,,,,,,,,,,,,,,
GO:0005945,Q867C9, P08237,,,,,,,,,,,,,,,,,,,,,,,,,
GO:0005980,Q867C9, P08237,,,,,,,,,,,,,,,,,,,,,,,,,
GO:0006002,Q867C9, Q86VS8, P08237,,,,,,,,,,,,,,,,,,,,,,,,
GO:0006096,Q867C9, Q86VS8, P08237,,,,,,,,,,,,,,,,,,,,,,,,
GO:0006887,Q647I9, Q9Z0R4, Q9WVE9,,,,,,,,,,,,,,,,,,,,,,,,
GO:0007015,Q647I9, Q9ULJ8, O35867,,,,,,,,,,,,,,,,,,,,,,,,
GO:0007186,Q01970, P25455, Q15147, P31422,,,,,,,,,,,,,,,,,,,,,,,
GO:0007196,P31422, P70579,,,,,,,,,,,,,,,,,,,,,,,,,
GO:0007264,Q9Z0R4, Q9WVE9, Q3V6T2,,,,,,,,,,,,,,,,,,,,,,,,
GO:0008017,Q5VT06, Q02224, Q5JR59, Q86VS8, Q3V6T2,,,,,,,,,,,,,,,,,,,,,,
GO:0014069,Q15147, Q9ULJ8, O35867, P31422,,,,,,,,,,,,,,,,,,,,,,,
GO:0015630,B2GV17, Q02224, Q5JR59,,,,,,,,,,,,,,,,,,,,,,,,
GO:0016042,Q01970, P25455, Q15147, Q9Z280,,,,,,,,,,,,,,,,,,,,,,,
GO:0016208,Q867C9, P08237,,,,,,,,,,,,,,,,,,,,,,,,,
GO:0019209,Q9Z0R4, Q9WVE9,,,,,,,,,,,,,,,,,,,,,,,,,
GO:0019233,P31422, P70579,,,,,,,,,,,,,,,,,,,,,,,,,
GO:0030027,Q9Z0R4, Q9Z280, O35867, Q9WVE9, Q3V6T2,,,,,,,,,,,,,,,,,,,,,,
GO:0030139,Q9Z0R4, Q9Z280, Q9WVE9,,,,,,,,,,,,,,,,,,,,,,,,
GO:0030388,Q867C9, P08237,,,,,,,,,,,,,,,,,,,,,,,,,
GO:0030705,Q86VS8, Q3V6T2,,,,,,,,,,,,,,,,,,,,,,,,,
GO:0031175,D3ZQL6, Q9ULJ8, O35867,,,,,,,,,,,,,,,,,,,,,,,,
GO:0035556,P55205, Q9Z0R4, P25455, Q15147, Q9WVE9,,,,,,,,,,,,,,,,,,,,,,
GO:0042734,Q9Z0R4, P31422, Q9WVE9, P70579,,,,,,,,,,,,,,,,,,,,,,,
GO:0043197,Q9Z0R4, Q9ULJ8, O35867, P31422, Q9WVE9,,,,,,,,,,,,,,,,,,,,,,
GO:0043547,P21359, Q6P4F7, Q80Y19,,,,,,,,,,,,,,,,,,,,,,,,
GO:0044305,Q9Z0R4, Q9WVE9,,,,,,,,,,,,,,,,,,,,,,,,,
GO:0045171,B2GV17, Q02224, Q5JR59,,,,,,,,,,,,,,,,,,,,,,,,
GO:0045724,O43303, Q3V6T2,,,,,,,,,,,,,,,,,,,,,,,,,
GO:0046488,Q01970, P25455, Q15147,,,,,,,,,,,,,,,,,,,,,,,,
GO:0048015,Q01970, P25455, Q15147,,,,,,,,,,,,,,,,,,,,,,,,
GO:0048029,Q867C9, P08237,,,,,,,,,,,,,,,,,,,,,,,,,
GO:0048820,P21359, Q5C9Z4,,,,,,,,,,,,,,,,,,,,,,,,,
GO:0050804,Q15147, Q9ULJ8, O35867, P31422,,,,,,,,,,,,,,,,,,,,,,,
GO:0051209,Q01970, P25455, Q15147,,,,,,,,,,,,,,,,,,,,,,,,
GO:0051402,P21359, Q9Z0R4, Q9WVE9,,,,,,,,,,,,,,,,,,,,,,,,
GO:0051897,Q9Z0R4, Q9WVE9, Q3V6T2,,,,,,,,,,,,,,,,,,,,,,,,
GO:0060090,Q01970, Q9Z0R4, F1RAX4, Q9WVE9,,,,,,,,,,,,,,,,,,,,,,,
GO:0060124,Q9Z0R4, Q9WVE9,,,,,,,,,,,,,,,,,,,,,,,,,
GO:0060999,Q9Z0R4, O35867, Q9WVE9,,,,,,,,,,,,,,,,,,,,,,,,
GO:0061621,Q867C9, Q86VS8, P08237,,,,,,,,,,,,,,,,,,,,,,,,
GO:0070061,Q867C9, P08237,,,,,,,,,,,,,,,,,,,,,,,,,
GO:0070064,Q9Z0R4, Q9WVE9,,,,,,,,,,,,,,,,,,,,,,,,,
GO:0070095,Q867C9, P08237,,,,,,,,,,,,,,,,,,,,,,,,,
GO:0071539,Q5VT06, Q86VS8,,,,,,,,,,,,,,,,,,,,,,,,,
GO:0093001,Q867C9, P08237,,,,,,,,,,,,,,,,,,,,,,,,,
GO:0097228,Q867C9, P08237,,,,,,,,,,,,,,,,,,,,,,,,,
GO:0097440,Q9Z0R4, Q9WVE9,,,,,,,,,,,,,,,,,,,,,,,,,
GO:0097708,Q9Z0R4, Q9WVE9,,,,,,,,,,,,,,,,,,,,,,,,,
GO:0098590,O35379, Q9Z280,,,,,,,,,,,,,,,,,,,,,,,,,
GO:0098833,Q9Z0R4, Q9WVE9,,,,,,,,,,,,,,,,,,,,,,,,,
GO:0098871,Q9Z0R4, O35867, Q9WVE9,,,,,,,,,,,,,,,,,,,,,,,,
GO:0098978,P21359, Q9Z0R4, Q15147, O35867, P31422, Q9WVE9, P70579,,,,,,,,,,,,,,,,,,,,
GO:1905274,Q9Z0R4, Q9WVE9,,,,,,,,,,,,,,,,,,,,,,,,,
GO:2001288,Q9Z0R4, Q9WVE9,,,,,,,,,,,,,,,,,,,,,,,,,